score,content,content_bersih
1,Buruk gk bisa ubah rdn gk ada solusi,buruk ubah rdn solusi
5,rrj hurry,rrj hurry
1,Aplikasi sangat buruk. Porsesnya sangat lama dan saat pencairan uang tidak masuk rekening padahal status sudah berhasil di verifikasi. Kapok pakai aplikasi ini,buruk porsesnya cair uang masuk rekening status hasil verifikasi kapok pakai
4,"Ketika saya menarik uang dari Reksadana, sistem memberikan informasi bahwa akan di proses pencairan dana akan memakan waktu maksimal 3 hari,orderan saya sudah dari tanggal 10 April 2024 sampai sekarang masih belum ada masuk ke rekening.",tarik uang reksadana sistem informasi proses cair dana makan maksimal order tanggal april masuk rekening
5,"aplikasi investasi reksadana terbaik menurut saya, fitur"" Simpel dan mudah digunakan, Mulai investasi dari sekarang agar dapat dinikmati dihari kemudian, Dan jangan lupa awal daftar mausukan kode Refferal berikut : cashbacck (dapat 25000)",investasi reksadana fitur simpel mudah investasi nikmat lupa daftar mausukan kode refferal cashbacck
1,"Proses pencairan lambat, nominal order jual ikut berkurang #norecomended #skip",proses cair lambat nominal order jual norecomended skip
4,"top up memakai fitur bank lain yg di sediain aplikasi ga masuk, udh sesuai kode yg di kasih sesuai petunjuk di dalam aplikasi padahal.",top up pakai fitur bank ain masuk sesuai kode sesuai
1,"top up 5 menit sudah masuk, tapi kalau tarik dana sudah 2 minggu belum masuk, tolong di perbaharui",top up menit masuk tarik dana minggu masuk baharu
2,Bibit proses pencairan nya lama saya hampir 2 minggu dana tidak cair cair,proses cair minggu dana cair cair
1,Xxxbiasa Obat kuat untuk suami istri.,xxxbiasa obat kuat suami istri
3,"sepertinya oprasi apk bibit ini tidak optimal, masi butuh beberapa detik berselancar.",oprasi optimal mas butuh detik selancar
4,sangat bags unturned investasi bags petulant.,bags unturned investasi bags petulant
1,Parah masa perubahan data saja nyampe satu Minggu malesin bgt,parah ubah data nyampe minggu malesin
3,Kelamaan verifikasi nya,verifikasi
3,"Pencairan terlalu lama, ribet.",cair ribet
1,Tidak bisa dibuka,buka
3,Kenapa pas verifikasi dialihkan ke WA business. Sedangkan di awal saya masukkan no WA biasa... Apakah ga jdi masalah ini.. Jdinya sampek sekrg belum daftar akun,pas verifikasi alih wa business masuk no wa jdi jdinya sampek sekrg daftar akun
5,good,good
5,Keren adminnya gercep kalo kita ada keluhan semoga bisa berfaedah terus bibit,keren adminnya gercep keluh moga faedah
5,"Terima kasih bibit, tetaplah menjadi yang terbaik.",
1,"udah lebih dari 7 hari dana belum masuk masuk,udah 11 hari di tunguin belum masuk juga sampe saat ini,kecewa",dana masuk masuk tunguin masuk sampe kecewa
3,"Bagus buat menabung, jangan enakin Bursa enak kebanyakan libur, kasian yang nunggu cairin lama, jangan karena tanggal merah, karena ga semua orang ngerasain juga libur di tanggal merah, beri keadilan kalo bisa bursa di hari raya ada yang masuk, uang saya belum cair dari awal april 2024, dimohon keadilan nya Bursa jangan Keneenakan libur boss.. . Minimal ada yang jaga satu",bagus tabung enakin bursa enak libur kasi nunggu cairin tanggal merah orang ngerasain libur tanggal merah adil bursa raya masuk uang cair april mohon adil bursa keneenakan libur boss minimal jaga
5,Pasar saham gak ada pergeraan kenapa ya,pasar saham gera
1,Jangan downlod apo ini peringatan keras!!!! Aku inves dari dua minggu lalu gak pernah di verifikasi padahal sdh bayar. App gk guna jadi jangan downlod karena iklan ðŸ˜¡,downlod apo keras inves minggu verifikasi sdh bayar app downlod iklan
5,bagus banget untuk pemula,bagus
1,JUAL REKSADANA LAMA SEKALI KE MASUK KE REK SIP. ESTIMASI 3 HARI MASUK UDAH 4 HARI BELUM MASUK - MASUK. PINDAH BROKER AJA KLO GINI BIKIN MALES!!! KRITIK GAADA UPDATE SAMA SEKALI UDAH KAPOK PINDAH AJA!!,jual reksadana masuk rek sip estimasi masuk masuk masuk pindah broker gin bikin males kritik gaada update kapok pindah
3,"Belakangan ini akun sering ke logout sendiri ""sesi penggunaan akun telah selesai silahkan login kembali"". Dan otentikasi login ulang selalu berulang. Ada apa ini? Pdhal saya sendiri g ada coba"" Hal aneh dgn Hp yg saya pakai untuk keperluan bisniss saya sendiri. Tambahan verifikasi biometriknya jga entah bagaimana sering error pdhal fingerprint saya aman dan buat aplikasi serupa pakai biometrik jga aman sperti bank jago, stockbit dll.",akun logout sesi akun selesai silah login otentikasi login ulang ulang pdhal g coba aneh dgn hp pakai bisniss verifikasi biometriknya jga error pdhal fingerprint aman rupa pakai biometrik jga aman sperti bank jago stockbit
5,"alhamdulillah selalu untung, hehe",alhamdulillah untung hehe
5,bibit sangat oke,
3,Kak knpa prosea pendafatarn saya udah 2 haribmasi proses verifikasi terus,kak knpa prosea pendafatarn haribmasi proses verifikasi
5,good,good
5,ok banget pokok nya,pokok
3,Pencairan/W.D. lama sangat,cair w d
5,good ðŸ‘ðŸ‘ðŸ‘,good
5,Masih libur stafnya ya,libur staf
1,Aplikasi sampah bngtt muak liat orang' yang ada di PT bibit Jan investasi di bibit laganyy doag sopan aslinya mahh sampah begoo,sampah bngtt muak liat orang pt jan investasi laganyy doag sopan asli mahh sampah begoo
5,Ok,
5,tempat invest utk pemula,invest utk
3,"Saya ingin Menjual reksadana namun sampai sekarang masih dalam tahap order penjualan, Jadi order penjualannya sudah ada sejak 8 april 2024 namun sampai sekarang (15 April 2024) masih dalam tahap order penjualan, saldonya belum masuk padahal dikatakan di aplikasi ""Maksimal 3 hari kerja"" dan sampai komentar saya ditulis, sudah lewat 7 hari. Mohon Ditindaklanjuti, terima kasih",jual reksadana tahap order jual order jual april april tahap order jual saldo masuk maksimal kerja komentar tulis mohon ditindaklanjuti
4,love bgt trusted,love trusted
2,kenapa statistik ku gak jln dri tgl 5 April dan ga ada perubahan nominal sampai skrng,statistik ku jln dri tgl april ubah nominal skrng
5,Masih belajar investasi. cukup membantu,ajar investasi bantu
5,referal code:ljcyxoq,referal code ljcyxoq
2,Sudah 8 hari ini dana belum cair2?,dana cair
5,ga ngabisin ruang banyak sukaa lup lupp,ngabisin ruang sukaa lup lupp
1,tidak user friendly,user friendly
5,terbaik,
1,Minta masukin uang cepat tapi proses penarikan lama nyesal gue pake bibit,masukin uang cepat proses tari nyesal gue pake
2,"proses pencairan sangat_sangat lama sekali, udah hampir 3 Minggu belum juga cair, padahal waktu topup g sampai 1 menit udah masuk. klau butuh uang dadakan TDK bisa andalkan apk nya.",proses cair minggu cair topup g menit masuk klau butuh uang dada tdk andal
5,bagus untuk menabung karena uang tidak bisa kena inflasi,bagus tabung uang kena inflasi
1,"Jadi males make ,ribet amat bank jago ,jelas KTP sama muka gua udah gua kirim ,malah di persulit",males make ribet bank jago ktp muka gua gua kirim sulit
5,mantap,mantap
1,Kyc aja di suruh 24 jam baru ACC. Sedangkan aku 4x kyc gk di selesaikan. Customer service di suruh cuman bisa ngulangin lagi.,kyc suruh jam acc x kyc selesai customer service suruh ngulangin
3,Saya barusan coba daftar..waktu verify itu saya pakai nonor whatsapp tapi kenapa aplikasi bibit mlahan verify ke whatsapp bussines..jadinya gagal verify..karena nomor WA dan WA bussines saya beda,barusan coba daftar verify pakai nonor whatsapp mlahan verify whatsapp bussines gagal verify nomor wa wa bussines beda
3,Saldo trading pindah ke saldo rdn kenapa lama sekali ya?,saldo trading pindah saldo rdn
5,Bagus sih aku mulai sebelum lebaran sampai sekarang belum di terima verifikasi aku apk yang salain gampang ini doang susah verifikasi nya udah berapa kali aku di tolak terusðŸ˜‘ðŸ‘,bagus lebaran verifikasi salain gampang doang susah verifikasi kali tolak
1,Min saya mau top up y kan tapi lewat bank BTN tapi d gagal kan Mulu y kenapa itu,top up y bank btn d gagal mulu y
1,"Apalah katanya maks 3 hari kerja, ini udh seminggu lebih ga dateng2 padahal butuh dana darurat, ga rekomen bgt yg nabung buat dana darurat",maks kerja minggu dateng butuh dana darurat rekomen nabung dana darurat
2,"Untuk bibit kalo bisa munculin RDN jago syariah dong, saya GK punya RDN BCAðŸ¥¹",munculin rdn jago syariah rdn bca
5,Semoga menjadikan uang saya menjadi dana pensiun saya yang tepat dan maksimal,moga uang dana pensiun maksimal
5,Ok,
5,semoga semakin bermanfaat buat para investor semuanya ðŸ™ðŸ»ðŸ¥³,moga manfaat investor
2,aku verifikasi lama kali udah 4 hari belom selesai,verifikasi kali bom selesai
3,Koreksi buat penarikan dananya kalu bisa jgn lama,koreksi tari dana kalu jgn
3,"Kekurangannya BIBIT itu saat lebaran tidak ada pemrosesan penarikan atau pemasukan.. Ya saya ngerti karna lebaran.. Cuma seharusnya, aplikasi atau situs penyedia jasa keuangan seperti ini.. seharusnya bisa transaksi di hari"" seperti lebaran.. Karena kita tidak tau kapan uang kita di butuhkan.. Sekelas nyimpen di dana darurat aja yg bisa instan narik masih terbatas dan tetap kena pending... Seharusnya bisa seperti penyedia keuangan atau invest macam jago atau reksadana tokped yg benar instan..",lebaran pemrosesan tari pasu ngerti karna lebaran situs sedia jasa uang transaksi lebaran tau uang butuh kelas nyimpen dana darurat instan narik batas kena pending sedia uang invest jago reksadana tokped instan
5,"sudah hampir 2tahun pakai bibit, mengajarkanku utk konsisten. thx",pakai ajar utk konsisten thx
4,mantab,mantab
1,"Dana penjualan susah cair, ga recommended",dana jual susah cair recommended
1,Sya jual kok gak masuk2 ke rekening ku gmna itu nipu jga ini aplikasi,sya jual masuk rekening ku gmna nipu jga
5,masukan kode refferal ( Jagoatm ) untuk mendapatkan komisi extra,masuk kode refferal jagoatm komisi extra
5,bagus,bagus
5,mantap,mantap
1,"Narik uang dari saham"" kok malah gk msk di akaun / rek yg di hubungkan. Status hilang. Kaco betul",narik uang saham msk akaun rek hubung status hilang kaco
2,Kode Referral,kode referral
1,Verivikasinya lama banget,verivikasinya
4,lama banget verivikasi nya,verivikasi
5,"Suka banget nabung di bibit, cocok buat pemula yang baru mau belajar investasi! Buat yang baru mau pake bibit, pake kode refferal: bungaflower buat dapetin cashback 25rb",suka nabung cocok ajar investasi pake pake kode refferal bungaflower dapetin cashback rb
5,mantap,mantap
5,"Selama ini sekitar 1 bulan pengalaman di bibit sangat luar biasa hahaha, mau nabung dan sekalian belajar investasi juga bisa belajar dari bibit pasar uang.. Terima kasih bibit kamu luar biasa ðŸ˜„",alam hahaha nabung ajar investasi ajar pasar uang
1,kalau tau upgrade bibit plus sampai 3 hari blom selesai dari awal mending pakai ajaib buat main saham....lambat proses payah,tau upgrade plus blom selesai mending pakai ajaib main saham lambat proses payah
5,aplikasinya ok,
4,"Apk sudah bagus,bisa untuk beli reksadana,obligasi dan saham... bibit udah nyambung sama stocbit juga bagus..,Untuk tambahan mungkin di update selanjutnya ada invest kripto untuk invest btc,...buat diversifikasi, saya yakin akan lebih banyak pengguna baru jika ada fitur invest kripto.....",bagus beli reksadana obligasi saham nyambung stocbit bagus update invest kripto invest btc diversifikasi fitur invest kripto
1,sya coba nabung rutin 3 bulan yang pas bulan ke tiga kok penipuan? awalnya telat gak sesuai jadwal karena kehabisan saldo. tetapi besoknta sudah saya isi dan masukan ke nabung rutin. tapi misi belum kelar. aku cuman nabung ditanggal yang berbeda aja loh. dipersulit banget sistemnya,sya coba nabung rutin pas tipu telat sesuai jadwal habis saldo besoknta isi masuk nabung rutin misi kelar nabung tanggal beda loh sulit sistem
5,good,good
5,Yg kasih bintang 1 mending gak usah masuk dunia investasi. Banyakin baca2 dan siapin mental dulu.,bintang mending masuk dunia investasi banyakin baca siapin mental
3,Terima kasih Mas Bibit. Tapi sayang : Topup via e-wallet = bayar Topup via bank = bayar Topup via jago/RDN = free tapi saldo jago/RDN 0 jadi mesti transfer dulu dr rekening utama dan tentu kena biaya jd free itu cuma semu saja. Di tokopedia reksadana serba free jual/belinya.,mas sayang topup via e wallet bayar topup via bank bayar topup via jago rdn free saldo jago rdn mesti transfer rekening utama kena biaya jd free semu tokopedia reksadana serba free jual beli
2,"Respon dr support bagus. Fitur bagus. Tapi kadang nge lag. Daftar juga hampir sehari tdk respon, setelah di info ke tim suport langsung di approve daftarnya. Seharusnya tau jika ada yg mau daftar. Tidak usah sampai chat support. Maju terus Bibit. Jossssssss yah",respon support bagus fitur bagus kadang nge lag daftar tdk respon info tim suport langsung approve daftar tau daftar chat support maju jossssssss yah
1,Pencairan sangat lama,cair
1,Saran jangan main bibit. Narik dari RDN ke dompet jago aja butuh waktu 2 hari..,saran main narik rdn dompet jago butuh
5,bagus untuk belajar in,bagus ajar in
5,keren,keren
5,"Aplikasi Reksadana yang mudah dipahami, dan investasi hanya 10rb, gokil ðŸ‘Œ",reksadana mudah paham investasi rb gokil
5,"Aplikasinya mudah dimengerti & mudah digunakan. Bagus untuk investor pemula.. Tp khusus reksadana banyak potongan nya, %return yg di janjikan akhirnya hanya mimpi. Keuntungan investasi makin tipis..",mudah erti mudah bagus investor khusus reksadana potong return janji mimpi untung investasi tipis
5,Emang cocok banget buat pemula,emang cocok
5,"mantul bgt salah satu aplikasi investasi buat jangka panjang, nominal dri 10rbu udh bisa berinvestasi. mudahÂ²an bibit bisa amanah..",mantul salah investasi jangka nominal dri rbu investasi mudah an amanah
5,t o p.,t o p
1,Pencairan nya lama banget ðŸ‘Ž,cair
5,masih belajar berinvestasi. Terima kasih ya bit...,ajar investasi bit
5,Mantappppp.....ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘,mantappppp
4,Kok makin lemot yaaaa Udah di update jadi lemot,lot yaaaa update lot
1,"Awalnya nyaman sekali ya, sekarang sudah gak lagi",nyaman
1,"Jelek aplikasi , registrasi susah , sudah muncul otp tp ga konek.. cari aplikasi yg mudah",jelek registrasi susah muncul otp konek cari mudah
5,terimakasih,terimakasih
1,"Sinyal bagus tapi kok stuck di logo awal gak masuk masuk, tolong di perbaiki secepatnya baru saya naikkan bintang nya",sinyal bagus stuck logo masuk masuk cepat bintang
5,cs nya mudah d hubungi dan sangat membantu,cs mudah d hubung bantu
5,mantapp,mantapp
2,Verifikasi terlalu lama. Sidah 2 hari belum bisa di pakai,verifikasi sidah pakai
1,Pendaftaran memakan waktu lama.verifikasinya bermasalah terus.akhirnya saya uninstal.ga jadi pakai bibit.,daftar makan verifikasi uninstal pakai
5,Join dengan kode referral tabunginkali akan ada bonus untuk kamu,join kode referral tabunginkali bonus
5,sangat mudah untuk pemula,mudah
5,Investasi Aman cuma di bibit,investasi aman
5,bibit cara investasi yang sangat bagus,investasi bagus
5,Bagus buat yang baru belajar investasi,bagus ajar investasi
5,kerren Lisa sygkk,kerren lisa sygkk
5,Mantap bagus untuk pemula,mantap bagus
4,"Sebenarnya bibit sangat membantu dan menolong saya investasi utk hari tua, tapi plis tingkatin lagi dalam bagian pencairan, jangan terlalu lama(kejadian disaya 1 minggu), dan juga biaya transaksi, jujur dlu saya suka nabung sebulan bisa lebih 2-3x, tapi semenjak ada biaya tambahan mau ga mau cmn 1x sekarang ðŸ™ðŸ»",bantu investasi utk tua plis tingkatin cair minggu biaya transaksi jujur dlu suka nabung x semenjak biaya cmn x
5,"baru mulai berinvestasi, semoga bisa konsisten. dan utk bibit terima kasih atas aplikasi terbaik ini",investasi moga konsisten utk
1,"aplikasi saat penarikan butuh waktu 3 hari ,tidak cocok untuk yg sering butuh dana darurat.akhirnya pilih investasi yang lain. dan saat memasukkan dana cepat tapi saat penarikan lama.padahal zaman sudah canggih apa apa serba cepat.baru kali ini ada apl selama ini saat penarikan.sangat mengecewakan",tari butuh cocok butuh dana darurat pilih investasi masuk dana cepat tari zaman canggih serba cepat kali apl tari kecewa
5,"Sejauh ini sudah bagus banget apalagi ada sistem pencairan Instan, Good. Tolong dong min Investasi Emas juga di munculkan biar makin jos",bagus sistem cair instan good investasi emas muncul biar jos
1,Sdh deposit tetapi sdh tdk bisa di buka aplikasinya bgmna. Tolong di jelaskan.,sdh deposit sdh tdk buka bgmna
5,Membantu untuk sedikit berharap masa depan lebih cerah hehe,bantu harap cerah hehe
5,Keren banget,keren
1,Gajelas kalau nabung seminggu atau perbulan habis cuma PPN aja apa lagi pas narik hasil tabungan reksa dana beuh lama banget,gajelas nabung minggu habis ppn pas narik hasil tabung reksa dana beuh
5,ok,
3,Maaf bintangnya sy kurangin. Ko skrg bibit utk masuk lama yah. Gak kyk dulu ðŸ™,maaf bintang rangin ko skrg utk masuk yah
5,mantabmantab,mantabmantab
5,sejauh ini aplikasi berjalan baik dan keamanannya sangat baik. semoga bertahan bahkan berkembang pesat,jalan aman moga tahan kembang pesat
5,Apk bagus tapi saya belum punya KTP terpaksa saya uninstall,bagus ktp paksa uninstall
5,good,good
5,Merasa aman menggunakan aplikasi ini untuk pemula,aman
1,Tambah rekening y sangat susah .kayak dinpaksa make bank jago . Terimakasih,rekening y susah dinpaksa make bank jago terimakasih
4,Oke,
5,"Sesuai janji saya, saya kasih bintang 5 jika sudah ada fitur dark mode",sesuai janji bintang fitur dark mode
1,Alasan gua malas inves itu penarikan buat darurat lama battttt,alas gua malas inves tari darurat battttt
5,Jangan lupa pake kode referalnya : inxiwep,lupa pake kode referalnya inxiwep
1,"ga lagi lagi deh kapok, lagi butuh dana darurat tapi malah harus nunggu beberapa hari. kacau deh",kapok butuh dana darurat nunggu kacau
5,Sebenarnya aplikasi ini untuk jangka panjang dan itu pasti ada hasilmya tapi kusus di pasar uang dan deposito hanya yg saya amati dan klo ada yg mau masukin kode reveral ya sama2 untung itu bagi yg mau untung klo ga ya terserah ini kode saya klo mau masukin reveralnya ya mualifin1 biar sama2 untung dan kita bisa jadi sahabat,jangka hasilmya sus pasar uang deposito masukin kode reveral untung untung serah kode masukin reveralnya mualifin biar untung sahabat
1,"Apa hanya aku ya ??? Yg ngeliat uangku serasa untung, tp pas q jual, hasil transferan malah rugi banyak... Ku hitung paket kalkulator tetep rugiðŸ˜­ðŸ˜­",ngeliat uang serasa untung pas q jual hasil transfer rugi ku hitung paket kalkulator tetep rugi
5,Mudah!,mudah
5,mantap dah pokoknya,mantap pokok
5,bagus,bagus
1,"Tidak bisa login akun Bibit dengan alasan Hp dalam kondisi Root. Padahal sebelumnya bisa dan sampe sekarang tidak pernah melakukan root. Tolong bantuannya, jangan sampe duitku ilang!!",login akun alas hp kondisi root sampe laku root bantu sampe duit ilang
5,mantap,mantap
5,membanggakan,bangga
2,Bibti Susah Pencairan masak harus pake Bank jago mulu gx bisa pakenyang lain. Proses penjualan saham lama juga. Pencairan juga sama.,bibti susah cair masak pake bank jago mulu gx pakenyang proses jual saham cair
5,"Buat yg butuh refferal biar dapet bonus cashback, nih masukin kode referral ini : dapetbonuscuan",butuh refferal biar dapet bonus cashback nih masukin kode referral dapetbonuscuan
5,Bagus,bagus
1,pencairan lama,cair
3,cukup membantu,bantu
1,buruk lemot dibuka,buruk lot buka
5,Sbn ritel apa bisa djual ..walaupun belum jatuh tempo...ada kebutuhan mendadak,sbn ritel djual jatuh tempo butuh dadak
1,Jual Sahamnya susah bngt sekarang ini. Udah diturunin dari Harga Pasarnya sampai 3 hari kenapa ya gak terjual juga?,jual saham susah bngt diturunin harga pasar jual
1,"Withdraw tdk 100% di cairkan masih ada tinggal beberapa puluh ribu, belum lagi pencairan harus kena pajak bank di tiap tempat yg di cairkan, padahal cuma 1 portofolio. Sekarang nambah parah transaksi jual n beli harus bayar bea materai 10.000.",withdraw tdk cair tinggal puluh ribu cair kena pajak bank cair portofolio nambah parah transaksi jual n beli bayar bea materai
5,"Gunakan kode referral: ( ajrcashback) saat mulai menggunakan bibit, agar dapat Cashback 25k Yah, semangat nabung nya Teman-teman, untuk masa depan tiktok @aj.renaldy",kode referral ajrcashback cashback k yah semangat nabung teman teman tiktok aj renaldy
5,Gunakan kode ini â€¼ï¸3odszwtâ€¼ï¸ aplikasi kerenâ˜º,kode odszwt keren
5,Baik,
5,Mantab,mantab
1,"jelek banget aplikasinya, sering gangguan.. kita pantengin fluktuasi saham kalo waktu ideal beli baru kita top up saldo rdn, eh malah gangguan dan harus nunggu satu hari.. keburu fluktuasi nya ga sesuai yang kita mau.. not recommend, saya mau pindah aplikasi lain aja setelah masalah ini selesai",jelek ganggu pantengin fluktuasi saham ideal beli top up saldo rdn eh ganggu nunggu keburu fluktuasi sesuai not recommend pindah selesai
1,"Tolong dong di permudah lagi, iya bikin mudah top up di alfamart dan indomaret! Kalo udah bisa gua naikin lagi bintang nya ya!",mudah iya bikin mudah top up alfamart indomaret gua naikin bintang
5,oy,oy
5,"Apk bagus, cuma banyak yang gk bisa dibeli reksadana nya gara garanya harus pake BCA, dan bank jago yg bermasalah terus gk bisa login",bagus beli reksadana gara garanya pake bca bank jago login
5,Mantap,mantap
5,aplikasi sangat bagus,bagus
1,"Beberapa hari ini (26 Maret 2024) hanya bisa lihat loading-page doang. Buka aplikasi ditunggu sampai ketiduran enggak kelar-kelar. Buka YouTube lancar, ini kok enggak? App 3.77.1, Android 11, Nokia 5.3.",maret lihat loading page doang buka tunggu tidur kelar kelar buka youtube lancar app android nokia
4,mantap dan kren utk ank muda berinvestasi di bibit ðŸ‘ðŸ˜Š,mantap kren utk ank muda investasi
5,semoga aplikasi bibit selalu amanah dan terus berkembang,moga amanah kembang
5,Bagus,bagus
5,ok,
5,bagus untuk pemula ðŸ˜œðŸ˜›ðŸ˜ðŸ¤—,bagus
5,baik,
5,masih baru coba dulu,coba
5,taro uang di bibit ....seperti punya ternak yg bisa bertelur,taro uang ternak telur
5,mantap,mantap
5,bagus,bagus
3,Mau top up ko ada uang tambahan,top up ko uang
5,Gunakan kode refferal : PASTIAJAYA dan dapatkan cashback 25.000 langsung,kode refferal pastiajaya cashback langsung
5,sangat membantu sekali,bantu
5,"Bibit tolong di benahi ya aplikasinya, aplikasinya LAG atau LEMOT, ditunggu updatean pembenahannya ya, Setelah update dan sudah di benahi nanti saya ganti ke bintang 5, Thanks!",benah lag lot tunggu updatean benah update benah ganti bintang thanks
5,mantap,mantap
5,Aplikasi yang membantu mencapai tujuan keuangan,bantu capai tuju uang
5,bagus,bagus
5,keren,keren
1,login pake finger print ga bisa,login pake finger print
3,bagus dan inshaAllah amanah,bagus inshaallah amanah
5,"Gunakan kode ini agar kamu dapat 50.000 tambahan saldo GRATIS dari bibit untuk investasi pertamamu di reksadana ðŸ‘‰ðŸ‘‰ ""salamcair""",kode saldo gratis investasi reksadana salamcair
5,baik,
1,Jangan pernah instal aplikasi ini karena tidak bisa menarik soldo yang sudah masuk ini aplikasi penipuan jangan instal aplikasi ini sebelum kalian menyesal.,instal tarik soldo masuk tipu instal sesal
5,Mudah dimengeri untuk Investasi,mudah keri investasi
1,2 tahun deposit cuma naik Rp.250,deposit rp
5,mengesankan,kesan
5,oke,
5,bagus ini,bagus
5,bagus bgt,bagus
5,Jadi makin rajin buat investasi.. Thank you Bibitâ™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸,rajin investasi thank you
5,sipppp,sipppp
1,Rumit..,rumit
1,Gak tau,tau
5,rekomendasi,rekomendasi
5,sangat bagus untuk belajar berinvestasi,bagus ajar investasi
5,"mantep banget aplikasi nya, investasi tanpa ribet tinggal tap tap tap langsung jadi.. buat yg mau dapet cashback 50rb bisa pakai kode refferal investbarengyukpeeps yaa.. selamat berinvestasi sobat",mantep investasi ribet tinggal tap tap tap langsung dapet cashback rb pakai kode refferal investbarengyukpeeps yaa selamat investasi sobat
1,"Kenapa aplikasi saya stuck di awal,Ndak bisa masuk",stuck ndak masuk
1,Ngelag paraaaaah,ngelag paraaaaah
3,awalÂ² lancar knp skrng mw login sja susah bngettt...,lancar knp skrng mw login sja susah bngettt
3,"Withdraw lama,,,not recomended",withdraw not recomended
3,tiba2 keluar dr aplikasi,
5,good,good
5,ga bisa di tarik ribet,tarik ribet
1,"Kebanyakan ""pemeliharaan"" hampir tiap hari.",pelihara
5,okelah kalo begitu,
5,"terima kasih, sukses selaluðŸ™",sukses
4,good,good
1,"Admin Telegram atas nama Dwi Anissa CRB pilih kasih dalam Mute member yg ribut, perbaiki lagi SDM mu bibit!!!!",admin telegram nama dwi anissa crb pilih mute member ribut sdm
5,mantul,mantul
5,Saya sangat suka dengan apk ini. Sangat membantu saya karena bagus,suka bantu bagus
5,ðŸ‘ðŸ‘,
1,Pilihan Saham dan Reksadana Kurang Banyak seperti Ajaib,pilih saham reksadana ajaib
1,"Mau nambah rekening riwehnya minta ampun, alurnya diubah seenaknya, padahal sudah jelas nama akun yg ditambahkan sama.. ntr klo sebelnya dah hilang bintangnya ditambah.",nambah rekening riwehnya ampun alur ubah enak nama akun ntr sebel hilang bintang
5,Bibit keren âœ¨,keren
5,"sangat bagus nih aplikasi. bagi kalian yg mau investasi uangnya , aku rekomendasi deh ini ðŸ˜Š",bagus nih investasi uang rekomendasi
4,"aplikasi bagus dan gak ribet, investasi jadi mudah sangat rekomend - - sugali - - investasi masa kini sangat terencana mudah digunakan dan ramah untuk pemula, ga takut lagi kalau ga ada arah asal beli saat ingin berinvestasi, karena ad bibit bisa nabung rutin setiap bulan. terima kasih bibit",bagus ribet investasi mudah rekomend sugali investasi rencana mudah ramah takut arah beli investasi ad nabung rutin
2,KAPOK SEKALI INVEST SAHAM DI BIBIT HARGA UDH NAIK GILIRAN MAU SELL MATCH SANGAT SUSAH. BATAS MATCH SAMPAI BURSA CLOSE KALO BELUM MATCH SAAT HARI ITU JUGA TERKENA PEMBATALAN OTOMATIS. LAH TERUS GIMANA KALO YANG UDH UNTUNG BANYAK MALAH TIDAK MATCH DAN KEESOKAN HARINYA MALAH TURUN! BAGAIMANA MAU AMBIL KEUNTUNGAN NYA? KOCAK BAT INI APLIKASI JANGAN PAKE BUKANNYA UNTUNG MALAH BUNTUNG. APLIKASI YANG UNTUNG BUKAN KITA BANYAK POTONGAN INI ITU RIBET BANGET MENDING APK SEBELAH WD CEPAT GA RIBET!!!,kapok invest saham harga gilir sell match susah batas match bursa close match kena batal otomatis gimana untung match esok turun ambil untung kocak bat pake untung buntung untung potong ribet mending belah wd cepat ribet
5,aplikasi yg bagus,bagus
5,Iihh ajaib mantap,iihh ajaib mantap
4,Aga lelet,aga lelet
5,Mudah dipahami dan lengkap,mudah paham lengkap
4,Kita kasih bintang 4 dulu kalo kita udah jalankan mendukung baru saya kasih bintang 5,bintang jalan dukung bintang
2,"Bintang 2 dulu deh. Upgrade ke bibit plus tulisannya selesai tgl 19, eh tgl 20 belom selesaiÂ². Investasiku belum juga di proses. Mohon dari pihak developer untuk ditindaklanjuti walau tidak seberapa",bintang upgrade plus tulis selesai tgl eh tgl bom selesai investasi proses mohon developer ditindaklanjuti
5,nice,nice
5,oke,
5,ok,
5,Coba dulu,coba
5,investasi yang baik,investasi
5,ok,
5,cocok untuk investasi masa tua,cocok investasi tua
5,"( lssfn0l )salin referensi nya dpt cuan nih, terimakasih bibit",lssfn l salin referensi dpt cuan nih terimakasih
5,bagus,bagus
3,"Mau nyoba saham, tapi mesti upgrade dulu :( Boleh dicoba kode referalku : jhnfdlh",nyoba saham mesti upgrade coba kode referalku jhnfdlh
4,Lebih baik,
5,ok,
5,bagus,bagus
1,lemot bgt pdhl jaringan bagus,lot pdhl jaring bagus
4,ðŸ‘ðŸ‘,
5,cocok banget untuk para investor pemula nih...,cocok investor nih
3,Kenapa ya sekarang bibit gak ada laporang bulanan . Kalau dulu ada terus tiap bulan di kirim ke email pribadi,laporang kirim email pribadi
2,"sumpah nyairin dana di bibit lama bgt ya allahh padahal tabungan cuma 4jtan bukan 2M 3M, padahal lagi butuh, bibit anjjj ga lagi dah nabung di bibit, mending bareksa atau ajaib ajadh",sumpah nyairin dana allahh tabung jtan m m butuh anjjj nabung mending bareksa ajaib ajadh
4,sangat cocok untuk pemula ataupun senior,cocok senior
5,menggokil,menggokil
5,Aplikasi nya bagus no comment pokok ny,bagus no comment pokok ny
2,Gabisa buka aplikasi nya apakah sedang bermasalahh??,gabisa buka bermasalahh
